Height Width
Average: 70.29199785586282 44.725359308242716
54 36: 5493x
37 32: 4232x
43 36: 4236x
48 38: 4241x
57 34: 4233x
52 38: 4242x
41 39: 4231x
42 38: 4246x
47 35: 8473x
52 42: 4230x
73 52: 4235x
71 56: 4262x
69 54: 4275x
64 55: 4218x
56 33: 4242x
43 30: 4244x
47 31: 4244x
43 32: 4245x
57 33: 4238x
51 42: 8473x
59 46: 10738x
67 53: 4253x
70 54: 4220x
48 28: 4238x
40 32: 4245x
43 38: 4223x
43 37: 4246x
50 39: 8488x
46 32: 4242x
64 47: 4242x
53 40: 4234x
44 32: 4237x
58 40: 4239x
68 39: 4191x
65 54: 4243x
49 35: 4234x
58 48: 4240x
67 46: 4230x
75 36: 4224x
44 40: 4237x
61 32: 4241x
46 36: 4231x
63 36: 4235x
68 40: 4238x
47 40: 4242x
48 39: 4227x
51 37: 8478x
69 45: 4240x
53 38: 4241x
49 43: 4233x
59 47: 4240x
65 46: 4239x
56 46: 4238x
39 34: 8475x
61 43: 4239x
50 31: 4240x
36 35: 4236x
40 38: 4242x
49 37: 4240x
48 37: 4235x
59 37: 4240x
67 37: 8481x
65 36: 4240x
67 40: 8475x
62 39: 4235x
51 32: 4239x
50 40: 4240x
46 41: 4236x
49 39: 4240x
55 45: 4237x
67 43: 4241x
66 44: 4234x
65 40: 4229x
63 45: 4241x
58 44: 4238x
82 54: 4503x
55 32: 4237x
49 32: 4240x
38 32: 4230x
47 39: 4240x
50 37: 4243x
70 39: 4240x
55 42: 4242x
63 41: 4240x
62 45: 4241x
75 49: 4679x
68 54: 4218x
43 34: 4242x
54 39: 4241x
52 32: 4241x
64 49: 4241x
62 42: 4239x
96 43: 2258x
61 44: 2263x
65 58: 2263x
117 62: 2538x
63 42: 2264x
60 48: 2262x
95 47: 2265x
172 82: 2226x
110 42: 2238x
61 45: 2259x
99 34: 2252x
123 62: 2264x
84 32: 2250x
154 93: 2265x
99 53: 2264x
109 39: 2260x
61 48: 3513x
60 40: 2259x
132 79: 2264x
67 50: 2261x
79 68: 2261x
59 54: 2264x
105 35: 2249x
55 36: 2261x
79 29: 2247x
111 42: 2260x
72 58: 2264x
102 75: 274x
125 70: 274x
103 57: 274x
101 38: 274x
75 32: 274x
111 38: 274x
115 31: 274x
76 68: 274x
56 41: 274x
63 52: 274x
63 54: 274x
55 41: 274x
50 36: 274x
55 31: 274x
142 80: 273x
125 82: 274x
117 27: 274x
74 62: 274x
52 31: 274x
66 52: 274x
65 50: 274x
125 30: 274x
98 26: 274x
84 40: 274x
65 44: 274x
85 29: 274x
124 60: 1250x
91 34: 1244x
169 82: 1251x
79 76: 1250x
79 75: 1250x
73 63: 1250x
55 47: 1249x
54 49: 1250x
108 38: 1249x
60 56: 1248x
68 48: 1249x
95 33: 1245x
101 42: 1237x
93 29: 1240x
61 47: 1249x
67 56: 1250x
141 83: 1251x
86 31: 1246x
58 50: 1251x
97 35: 1235x
109 49: 1249x
113 54: 1249x
101 47: 5373x
73 64: 1251x
139 77: 1251x
116 45: 1249x
153 67: 4149x
139 65: 4151x
109 52: 4141x
109 41: 4140x
92 46: 4129x
85 38: 4140x
110 59: 4144x
110 44: 4152x
91 42: 4150x
84 31: 4144x
67 48: 4143x
59 52: 4143x
78 41: 4152x
69 58: 4143x
61 57: 4148x
58 55: 4147x
74 71: 8292x
71 57: 4144x
61 54: 4144x
60 50: 4145x
117 66: 4150x
109 48: 4148x
86 45: 4149x
97 43: 4143x
88 41: 4126x
176 82: 4149x
115 47: 4143x
128 67: 4144x
121 57: 4145x
99 49: 4151x
115 48: 4146x
85 32: 4142x
73 65: 4141x
121 73: 4142x
100 72: 4149x
101 52: 4150x
130 61: 4151x
80 39: 4148x
